"1. On a scale of 1-5, how actively are you involved in the Cardano ecosystem?",2. What role/s do you have within the Cardano community (select all that apply)?,3. How long have you been engaged with Cardano?,4. Please indicate your level of experience with Cardano:,"5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Development of our core infrastructure]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Research and development]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Marketing and ecosystem growth]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Innovation and grants (e.g. Catalyst)]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Regulatory compliance and governance]",6. Which areas do you believe should receive the most funding in the upcoming budget? (Select up to three),"6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Development of our core infrastructure]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Research and development]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Marketing and ecosystem growth]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Innovation and grants (e.g. Catalyst)]","7. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 6 = Lowest allocation) [Regulatory compliance and governance]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [On-chain Governance support]",7. Are there specific technologies or platforms you believe Cardano should adopt/integrate/consider?,9. Do you think Cardano should allocate budget for global outreach and adoption in developing countries?,10. Should funds be allocated to support third-party developers and startups building on Cardano?,8. What percentage of the budget should be reserved for unforeseen opportunities or emergencies?,9. How would you prefer to participate in budget decision-making? (Select all that apply),"10. How much would you like to participate (through committees, working groups and async discussions/research) ?",11. How important is transparency in the budget process to you?,12. How familiar are you with the budget process at Intersect and the budget committee’s progress (see here for more information)?,13. What are the top three projects or initiatives you would like to see funded in the next budget cycle?,14. Are there any areas you feel are currently overfunded and could receive less emphasis?,"15. On the other hand, are there any areas you feel are currently underfunded and could receive greater emphasis?",16. What challenges do you believe are most critical for Cardano to address with its budget?,"17. Are you currently participating in a committee, working group or special interest group?",18. How frequently would you like to receive updates on budget allocation and spending?,19. What level of detail would you prefer to receive?,20. Which communication channels do you prefer for receiving updates on budget and financial activities? (Select all that apply),21. Do you have any additional comments or suggestions regarding the budget planning process or funding allocation for Cardano?,Which region do you primarily reside in?,"7. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 6 = Lowest allocation) [Innovation and funding (i.e. Catalyst)]",Please acknowledge that you have read and agreed to our Privacy Policy?,"5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [On-chain governance support]"
5,"Developer, End user, Content creator / educator, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",2 - 5 years,Expert,2,1,5,4,,,2,1,5,4,,3,Use the drep system for funding approval. Not Intersect. ,,,More than 15%,Voting on proposals (as a DRep),10+ hours per month,5,Somewhat familiar,"Hydra, Post Quantum research, ouroboros research ",I worry marketing will soon be over funded ,Post quantum research ,Premissionlessness ,"No, and not interested or have enough time",Monthly,Both high-level and detail,"Official website updates, Social media platforms",Companies should submit a governance action to receive funding. They should not have to approach Intersect. ,North America,,I agree,3
4,"End user, Content creator / educator, Community moderator",2 - 5 years,Advanced,4,3,1,5,,,4,2,1,5,,3,,,,Unsure/I don’t know,"Voting on proposals (as a DRep), Providing feedback through surveys",Unsure/I don’t know,3,Neutral,I don't understand the question. Which projects/initiatives? Is there a list? Are we talking about Catalyst?,I don't know what is funded and at which level.,I don't know what is funded and at which level.,A balanced budget is essential.,"No, and not interested or have enough time",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Social media platforms","A ""credit score"" on Catalyst applicants. Eg. if they received funds in the past, did they complete their work, what were the results, how much income did it generate for Cardano through transaction fees, etc. If someone is asking for funds for the first time, they could improve their score by locking some ADA.",Europe,,I agree,2
4,"On-chain governance (DRep, ICC, SPO)",2 - 5 years,Advanced,3,4,5,1,,,3,4,5,1,,2,WALLET系の様々なブロックチェーンとの連携が重要,,,More than 15%,"Providing feedback through surveys, Serving on committees or working groups",1-9 hours per month,4,Neutral,カルダノエコシステムのユースケースを増やすプロジェット,catalystsの個人的な利用,マーケティング,地道な研究開発,"No, but would like to",Only when major changes occur,Both high-level and detail,"Official website updates, Social media platforms",意味のないCatalystsや完結しない提案からデポジットを取って回収するべき。,Asia,,I agree,2
3,"Researcher, Community reviewer",2 - 5 years,Intermediate,5,3,4,1,,,5,3,4,1,,2,"Chainlink, USDC",,,5% - 10%,"Participating in focus groups or workshops, Providing feedback through surveys",1-9 hours per month,5,Somewhat familiar,A breakhthrough Dapps that attract hundreds of thounsands of users; Good Oracle project; Good Zk layer 2 project.,"Ecosystem in Catalyst, because I think it just wastes of fund. ",Attract more real users to Cardano.,It might be hard for developers to programming in haskell as well as eutxo.,"Yes, one committee, working group or special interest group",Monthly,Both high-level and detail,"Email newsletters, Social media platforms",Should be more careful. I have seen some useless projects are funded.,Asia,,I agree,2
3,"End user, Researcher, Community organizer",Over 5 years,Advanced,3,4,1,2,,,3,4,1,2,,5,yes,,,11% - 15%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Serving on committees or working groups",1-9 hours per month,5,Not familiar,Hire a professional marketing company.,Community service workshops in Africa,Marketing: allocate funds to partner with Top 100 companies.,Support DApps on the Cardano ecosystem by providing funding to help them grow strong. Focus on developing more engaging tools to attract users from other networks. Prioritize funding existing DApps rather than launching many new ones that may struggle to survive.,"Yes, several",Monthly,"Granular detail; reports, audits, meeting minutes etc","Email newsletters, Official website updates",Suggestions for improved oversight and transparency in funding initiatives.,Asia,,I agree,5
5,"Developer, Content creator / educator",2 - 5 years,Intermediate,4,3,1,2,,,4,3,1,2,,5,"Bitcoin, Ethereum, Shopify",,,5% - 10%,"Providing feedback through surveys, Serving on committees or working groups",1-9 hours per month,5,Not familiar,"Marlowe, Catalyst and Hydra",nothing,"Marlowe, Marketing, Real world use cases",provide more real world use cases and effective marketing programs,"No, but would like to",Monthly,Both high-level and detail,"Email newsletters, Community forums",no I don't have,Asia,,I agree,5
4,"End user, Community Reviewer, Moderator on Catalyst Project",2 - 5 years,Advanced,2,4,1,3,,,2,4,1,3,,5,Hydra Head and Midgard should be developed as fast as possible,,,11% - 15%,Providing feedback through surveys,1-9 hours per month,5,I have not engaged,"Hydra Head, Midgard and Pisa-Fees","Research. Honestly, almost the research is feasibility research and most of them are availabe. However, somehow most of them still get funded (Catalyst space)","Layer 2 is the most underfunded. At this time, L2 like Hydra Head is slowly developing although L2 is the most feasible scaling solution for Cardano. The vision about 1 million txs per second is still far away.",Centralization. There is a lot of project can be consider the unnessesary projects but still get funded. Most of the team who get funded not even show any transparency. The solution is not in my mind yet because the entities behind them have strong voting power.,"No, but would like to",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Social media platforms","No, good luck for all of you",Asia,,I agree,5
5,"End user, Researcher",Over 5 years,Expert,5,4,3,2,,,5,4,3,2,,1,,,,More than 15%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups, All of the above",10+ hours per month,5,I have not engaged,"Auroboros Leios, Hydra",No,No,"I think the most critical challenge is unfocused investment leads to inefficiency. Decentralized environments make us think that everything needs investment, which leads to scattered development. In-depth discussions are needed in each development area to come up with long-term and effective strategies.","No, and not interested or have enough time",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams, All the above",No,Asia,,I agree,1
5,End user,Over 5 years,Advanced,1,2,5,4,,,1,2,5,4,,3,,,,Unsure/I don’t know,Voting on proposals (as a DRep),Unsure/I don’t know,5,Not familiar,Scaling,No,Stable coins eg. USDC,Scaling,"No, and not interested or have enough time",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Social media platforms, Webinars or live streams",NO,Australia/Oceania,,I agree,3
5,"Builder (part of DApp or project), End user, Researcher, Content creator / educator, Community organizer, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",Over 5 years,Expert,1,2,5,3,,,1,2,5,3,,4,,,,More than 15%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys",1-9 hours per month,5,Somewhat familiar,Ouroboros Leios and Peras. Bitcoin OS integration. Projects with a real impact. ,Not aware,Builders. Content creators. Educators. ,Transparency. Setting goals properly. Meeting the real needs for adoption. Spending where it is really needed. ,"Yes, several",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Social media platforms",no,Europe,,I agree,4
3,"End user, On-chain governance (DRep, ICC, SPO)",Over 5 years,Advanced,1,4,3,5,,,1,3,2,5,,4,USDC,,,5% - 10%,"Participating in focus groups or workshops, Providing feedback through surveys",1-9 hours per month,5,Somewhat familiar,USDC adoption and Bitcoin OS,Catalyst projects include a lot of waste and could use more oversight,See above response for top 3 projects,Keep developing core infrastructure and level 2 side chains like Midnight,"No, but would like to",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc",Email newsletters,"No, great job!",Europe,,I agree,2
3,End user,2 - 5 years,Intermediate,3,5,1,2,,,4,5,1,2,,3,,,,5% - 10%,Providing feedback through surveys,Unsure/I don’t know,1,Neutral,Idk,No,Idk,Idk,"No, and not interested or have enough time",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc",Email newsletters,No,Europe,,I agree,4
5,"Builder (part of DApp or project), Researcher, Content creator / educator",2 - 5 years,Expert,3,4,1,5,,,3,2,4,1,,5,"CNT CEX Listings, Bitcoin L2, Push Government Infrastructure Usecases",,,Less than 5%,"Voting on proposals (as a DRep), Providing feedback through surveys",1-9 hours per month,5,Not familiar,"Bitcoin L2, ZK projects and Government Infra Support",Low quality proposals in catalyst,"ZK, Tooling, Core Infra",Transparency ,"No, and not interested or have enough time",Monthly,Both high-level and detail,"Email newsletters, Social media platforms",Let´s make Cardano GREAT,Europe,,I agree,2
4,"End user, On-chain governance (DRep, ICC, SPO)",2 - 5 years,Advanced,1,3,5,4,,,1,2,3,4,,5,,,,More than 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",1-9 hours per month,5,I have not engaged,Charles,No,No,Decentralized Governance ,I would like to but unsure of how to join or participate,Quarterly,"Granular detail; reports, audits, meeting minutes etc","Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams, All the above",Positive community sentiment expressed. ,Europe,,I agree,2
4,"End user, Community organizer, Intersect contributor (member, working group or committee etc)",2 - 5 years,Intermediate,2,3,5,4,,,2,1,3,5,,4,You Tube Simple English Information Channel,,,Less than 5%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups, All of the above",10+ hours per month,5,Somewhat familiar,"Outreach and Education in Simple English, Community Expansion in under served regions, Compliance/Ethics",Catalyst,Education in Simple English,"Increasing awareness in LATAM and Africa, if we are to encourage the unbanked, or unconnected, they need simple language to understand its full benefits","No, but would like to",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Webinars or live streams","We have to build trust in the communities across the world to bring a balance in the distribution of wealth and knowledge. We need to be objective and subjective to the demands of those areas underserved.  A code of ethics and standards would be a good thing to introduce, as well as clear audit trails.",Africa,,I agree,1
4,"Intersect contributor (member, working group or committee etc)",Over 5 years,Intermediate,1,2,5,3,,,2,1,5,4,,3,Midnigth,,,Unsure/I don’t know,Providing feedback through surveys,Unsure/I don’t know,5,Neutral,"Zero-Knowledge Proofs (ZKP) SDK para Privacidad en Cardano / Interoperabilidad EUTxO-L2: Conecte Hydra y otros L2. /Universal Descentralized Voting System (UDVS) – Una Plataforma de Votación Global Basada en Blockchain para Elecciones Transparentes, Seguras e Inclusivas Usando Cardano.
",No,No,Monto anual asignado,"No, but would like to",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc",Official website updates,No,South America,,I agree,4
5,"Builder (part of DApp or project), End user, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",2 - 5 years,Intermediate,5,1,2,4,,,5,1,2,4,,3,Interoperability is key. ,,,11% - 15%,All of the above,1-9 hours per month,5,Somewhat familiar,I would be biased in giving project names. ,"The summits are a ludicrous waste of money and time. Not to mention the insistence in organizing them in a country rife with gender, race and religion discrimination.",Skilled developers are super hard to come by. A lot of people have to either learn from scratch or work under paid (when paid at all) for months (if not years). A significant portion of the budget should go to attracting and onboarding skilled devs.,Adoption and interoperability ,"No, but would like to",Monthly,Both high-level and detail,All the above,Not at this time ,Europe,,I agree,3
4,"End user, Content creator / educator",Over 5 years,Advanced,1,3,2,4,,,1,4,2,3,,5,-,,,11% - 15%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys",1-9 hours per month,5,Not familiar,"Stable coins, Online education, Interoperability ",no,Marketing,Marketing and building partnerships ,I would like to but unsure of how to join or participate,Monthly,"High-level summary; current progress, milestones and/or upcoming events etc",Social media platforms,No,Asia,,I agree,5
2,End user,2 - 5 years,Intermediate,1,2,5,4,,,1,3,5,2,,4,,,,5% - 10%,"Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups",1-9 hours per month,5,Somewhat familiar,catalyst alternativ; midnight applications,anything defi,RWA; none Dollar backed stablecoins (RWA; algorithmic),"Getting governance in a orderly, workable structure","No, but would like to",Quarterly,Both high-level and detail,"Official website updates, Community forums, Webinars or live streams",Marketing only if there is a product non crypto natives can use en masse,Europe,,I agree,3
5,"Developer, Builder (part of DApp or project), End user, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",Over 5 years,Expert,5,4,3,2,,,5,4,3,2,,1,Validation Zones/Partial Transactions and Leios,,,Less than 5%,"Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups",1-9 hours per month,5,Very familiar,"Validation Zones, Leios, General Maintenance","Catalyst, Bureaucracy ",No,Keep the node development moving until value correction of ADA,"Yes, several",Monthly,Both high-level and detail,All the above,No,North America,,I agree,1
3,"Developer, Builder (part of DApp or project), End user",2 - 5 years,Expert,4,3,2,1,,,1,3,4,2,,5,,,,5% - 10%,"Voting on proposals (as a DRep), Providing feedback through surveys",1-9 hours per month,5,Not familiar,"Hydra, Catalyst and Scalability",NO,No,More transparency and details,"No, and not interested or have enough time",Monthly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms",no,South America,,I agree,5
5,"Intersect contributor (member, working group or committee etc), Open Source, Employee of Intersect",2 - 5 years,Expert,1,3,2,5,,,1,3,2,4,,5,,,,More than 15%,"Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups, All of the above",10+ hours per month,4,Very familiar,"Open Source, TSC, and marketing",workshops,open source and marketing,"Open Source, community collaboration","Yes, several",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc",All the above,Need public calls to engage community even wider then dreps,North America,,I agree,4
5,"End user, Researcher, Community organizer, Holder",1 - 2 years,Intermediate,5,2,3,4,,,5,2,3,4,,1,No,,,5% - 10%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups, All of the above",1-9 hours per month,5,Somewhat familiar,I want to see about the projects to build an ecosystem and development on-chain,No,I think is Marketing and on-chain,I Have no opinion,"Yes, one committee, working group or special interest group",Monthly,"Granular detail; reports, audits, meeting minutes etc","Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams, All the above",No,Asia,,I agree,1
3,"Developer, End user",1 - 2 years,Intermediate,1,2,3,5,,,1,2,3,5,,4,,,,11% - 15%,Voting on proposals (as a DRep),Unsure/I don’t know,5,Not familiar,"Partner chains, governance",No,No,Transparency,"No, and not interested or have enough time",Bi-annually,"High-level summary; current progress, milestones and/or upcoming events etc","Official website updates, Social media platforms, Webinars or live streams",No,Europe,,I agree,4
1,End user,2 - 5 years,Beginner,1,3,4,5,,,1,3,4,5,,2,Privacy ,,,Unsure/I don’t know,Voting on proposals (as a DRep),1-9 hours per month,5,Not familiar,"Privacy, RWA’s, stable coin ",Not sure,Not sure,Ease of use,"No, and not interested or have enough time",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc",Social media platforms,No,,,I agree,2
4,"End user, Researcher, Investor ",Over 5 years,Advanced,1,2,4,3,,,1,2,4,3,,5,,,,More than 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",Unsure/I don’t know,5,Not familiar,everything that helps a WIDE range of projects... and real world government projects... and real world projects,specific business cases and ideas that only benefit a single company/startup and are nothing more then an empty promise (hope) of getting adoption. businesses can pay for themselves,market making... allthoug would only Work with a very trustful Provider ,liquidity and market making,"No, and not interested or have enough time",Monthly,"Granular detail; reports, audits, meeting minutes etc","Official website updates, Social media platforms",focuss on minimum budget. bigger trust needs to be earned! we need to start safe with smaller steps,Europe,,I agree,5
5,"Researcher, Mentors and Supervisory Council Of the Cardano Unified Student Club Nigeria",Over 5 years,Expert,5,1,4,2,,,4,1,5,2,,3,Go multi chain,,,Unsure/I don’t know,Serving on committees or working groups,1-9 hours per month,5,Very familiar,"Marketing, Tools for developer to come into cardano, and to research ",No comment. ,Visibility to the African community. Promoting Cardano. E.g Nigeria. ,Supporting small growing communities in Africa promoting Cardano. And tools to build on the chain. ,"Yes, several",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Official website updates, Social media platforms",No comment ,Africa,,I agree,3
4,End user,2 - 5 years,Intermediate,1,2,5,4,,,1,2,5,4,,3,,,,11% - 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",Unsure/I don’t know,5,Neutral,"Midgard, BOS, Node diversification ",Marketing,Core infrastructure ,Transparency and Consensus,I would like to but unsure of how to join or participate,Monthly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms",-,Europe,,I agree,3
4,"Builder (part of DApp or project), Content creator / educator, Artist",1 - 2 years,Intermediate,1,5,2,4,,,2,5,1,4,,3,"Marketing, depin",,,More than 15%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups",1-9 hours per month,5,Neutral,"Marketing,depin,case use",Idk,Marketing,"Marketing, transparent ","No, but would like to",Monthly,"Granular detail; reports, audits, meeting minutes etc",Social media platforms,"the probability of reaching more people, removing the prejudice of being a dinocrypto, since cardano is the future",South America,,I agree,3
5,"Builder (part of DApp or project), End user, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",Over 5 years,Expert,1,2,3,5,,,1,2,4,3,,5,,,,11% - 15%,All of the above,1-9 hours per month,5,Very familiar,"Alternative node implementation, Leios research, summit",Catalyst size of funds should be significantly lower; Community grants to companies and individuals for development of features in their products they’d need to develop anyway to stay in business; funding and setup of new projects like govtools outsourced to random contractors ,Support of core developers outside of IO. ,"A complete, transparent breakdown of all planned costs and their purpose. As well as the actual costs and reporting after money was spent. ","Yes, several",Quarterly,Both high-level and detail,"Email newsletters, All the above","Suggestions for a lean budget approach. If we start high, we destroy ourselves. ",Europe,,I disagree (and do not want to be contacted),4
5,"End user, Community organizer",2 - 5 years,Advanced,5,2,1,3,,,5,4,3,2,,1,Futures and bonds,,,5% - 10%,All of the above,1-9 hours per month,5,Somewhat familiar,"Liqwid, dexhunter, hydr",No,Communities,Governance,"No, but would like to",Only when major changes occur,"High-level summary; current progress, milestones and/or upcoming events etc",Social media platforms,Transparency ,North America,,I agree,4
2,End user,Over 5 years,Advanced,4,5,1,2,,,3,5,1,2,,4,"Interoperability bridges/protocols (e.g., IBC, LayerZero), Improved developer tooling and SDKs, Enhanced smart contract languages, Decentralized identity solutions, Stablecoin integrations....",,,Unsure/I don’t know,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups, All of the above",Unsure/I don’t know,4,Neutral,"Interoperability Bridge to Ethereum, BTC (with a focus on NFT migration), Plutus Enhancement and Developer Tooling Improvement Program, Decentralized Identity (DID) Implementation and Integration with Existing dApps","Duplicative or overlapping projects, Projects with limited demonstrable progress or unclear deliverables, Theoretical research with unclear practical applications, Projects that don't align with Cardano's core values or long-term vision....","Developer Ecosystem and Tooling, User Experience (UX) and dApp Discoverability, Interoperability and Cross-Chain Bridges, Decentralized Identity (DID) and Verifiable Credentials, Security Audits and Formal Verification...","Developer Ecosystem Growth, Interoperability, User Experience, Decentralized Governance, Marketing and Education, Real-World Adoption, ","No, not have enough time",Quarterly,"Granular detail; reports, audits, meeting minutes etc","Social media platforms, Community forums","Transparency and Community Engagement, Improving Funding Efficiency, Fostering Long-Term Growth, ...v.v...",Viet Nam,,I agree,3
4,End user,2 - 5 years,Intermediate,2,3,1,5,,,2,3,1,5,,4,,,,More than 15%,All of the above,1-9 hours per month,5,Not familiar,"CNT's on major exchanges, BTC integration, marketing",Anything that is saturated and doesn't need funding to continue to work. Funding should be to get things off the ground which are otherwise unachievable.,Marketing to the masses.,"Cnt listing, marketing ",I would like to but unsure of how to join or participate,Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc",All the above,The treasury needs to be protected from malicious actors and grifters,Europe,,I agree,4
3,"End user, Content creator / educator",2 - 5 years,Advanced,4,3,1,2,,,4,3,1,2,,5,"Some type of ad revenue generating infrastructure, both for in-ecosystem advertising, and also outside (web2) corporations accessing the users of Cardano, paying the treasury for impressions.",,,11% - 15%,Voting on proposals (as a DRep),Unsure/I don’t know,5,Not familiar,"Anything that helps average users to access information regarding governance procedures, and increases transparency.",Don't have an educated opinion on this.,Don't have an educated opinion on this.,"To establish net positive treasury inflows with it's continued operation. Longevity. Important to prioritize the main selling point of Cardano, which is transparency, and a low trust prerequisite.",I would like to but unsure of how to join or participate,Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Social media platforms",No,Europe,,I agree,5
3,"End user, Community organizer",2 - 5 years,Intermediate,5,1,4,2,,,5,1,2,4,,3,,,,5% - 10%,All of the above,1-9 hours per month,5,Neutral,Core development; community governance participation; marketing,Not to my knowledge - just need to do more overall,Community participation in on-chain governance and stewardship of the protocol. Provide more opportunities that have some sort of remuneration so we can attract higher and more professional talent. ,"Lack of awareness and negative perception about Cardano, particularly highlight innovation and teams with working products. As well as bringing in more professionally-focused community members to help guide different aspects (marketing; policy development; institutional development)",I have skills and capacity but it's too much work to expect it for free and there's not enough support to bring in professionals like myself and to sustain our participation over time. ,Quarterly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams, All the above","All budget decisions should be put forward to the community for comment prior to any decision being taken by the committee. As much as possible, referendums prior to voting should take place to gather community sentiments. 
Lastly, the more Intersect can allocate to building a professional cadre of participants in governance to help guide and direct the project the better. It'd be nice to see Intersect develop a few paid positions that are on limited time horizons that community members can participate in and in a way that would allow them to commit full time for say 1-2 years. Then it'd switch to a new cohort - of course some could be reselected if their track records warrant continued participation. ",North America,,I agree,3
5,Founder .zkdid™ ,Less than 1 year,Intermediate,1,2,5,4,,,1,2,5,3,,4,.zkdid™ Zero knowledge decentralised DNS proof of personhood protocol ,,,11% - 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",1-9 hours per month,5,Not familiar,"Catalyst, IOHK, Emurgo","When funding projects which intend to create revenue for a private business, this should come with payback agreements.",Unsure,If we’re about to enter a ball market. Large expenditure will be looked back as a mistake. There should be no big payments made in one go that makes no sense. Payment should be released incrementally with milestones and targets completed!,"No, and not interested or have enough time",Monthly,Both high-level and detail,All the above,"As stated previously. I’ve noticed some very large proposals for an immense amount of Cardano . I think this would be a mistake. People are sadly having to convert this Cardano to Fiat currency and while the value is very low we will be losing a great amount of the treasury. It’s quite possible in a few months Cardano could be at one dollar or more and we will look back at this moment with regret having wasted immense sons of money. Currently, I think we should move slower and get the community fully up to speed with what is going on. And possibly implement fairer voting mechanisms that have been proposed by Photrec et al.",Europe,,I agree,3
4,"Developer, End user, Content creator / educator",2 - 5 years,Intermediate,1,3,5,4,,,1,2,5,4,,3,Artist Events. This is your marketing,,,More than 15%,Providing feedback through surveys,1-9 hours per month,5,Not familiar,Artists Tools,marketplaces ,Artist tools. ,"Saving it, yall gonna stuff your pockets and not actually support the people who are buildng careers here","No, and not interested or have enough time",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Official website updates, Social media platforms",Intersect should be run by elected officials like congress,North America,,I agree,2
4,End user,Over 5 years,Intermediate,4,2,1,5,,,5,3,1,2,,4,Stablecoins,,,Unsure/I don’t know,"Voting on proposals (as a DRep), Providing feedback through surveys",1-9 hours per month,5,Somewhat familiar,Stablecoins marketing adoption ,No,Stablecoins marketing ,Stablecoins,"No, and not interested or have enough time",Monthly,Both high-level and detail,All the above,No,Europe,,I agree,3
5,End user,2 - 5 years,Advanced,4,1,5,2,,,4,1,5,2,,3,USDT AND BITCOIN ,,,Less than 5%,Voting on proposals (as a DRep),Unsure/I don’t know,5,Not familiar,"Adoption, Marketing, Partnerships",Catalyst,Marketing and Partnerships ,Network speed ,"No, and not interested or have enough time",Quarterly,Both high-level and detail,Social media platforms,No,North America,,I agree,3
5,"End user, Content creator / educator",2 - 5 years,Intermediate,4,3,1,5,,,4,3,1,5,,2,Cardano’s biggest attention should be on empowering builders building exclusively on Cardano. We need to incentivise innovative products. This in a way markets Cardano at the same time.,,,11% - 15%,There should be a dapp dedicated to this exclusively that plugs in really nicely into wallets,Unsure/I don’t know,4,Somewhat familiar,"I believe what’s needed most in Cardano atm are great dapps/projects that inspire the whole ecosystem. For that to happen we have to attract/retain the innovative builders. 

1. Incentives to attract and inspire innovative builders to build exclusively on Cardano.
2. Scaling the L1/Working on core infrastructure.
3. Continued research especially in furthering decentralisation and security",I’m not too sure on this. ,We need more emphasis on number 1 above,Number 1 above.,No. I might be interested but need to figure out my availability. ,Monthly,Both high-level and detail,"Email newsletters, Social media platforms",No,Europe,,I agree,2
1,Investor ,2 - 5 years,Beginner,4,1,5,2,,,4,1,5,2,,3,,,,11% - 15%,Providing feedback through surveys,Unsure/I don’t know,3,I have not engaged,Marketing/ real world usage /VC onboarding ,Not sure ,Not sure ,Too much transparency- leads to decision out of trying to keep all happy rather then the right decision,"No, and not interested or have enough time",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc",Email newsletters,Not close enough to budget process ,Australia/Oceania,,I agree,3
3,End user,Over 5 years,Beginner,1,2,5,4,,,1,2,5,4,,3,Internet Computer ,,,11% - 15%,Providing feedback through surveys,Unsure/I don’t know,5,Not familiar,Ourobouros Leios/Praos,Not sure,Marketing,It needs a killer app and name recognition,"No, and not interested or have enough time",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc",Email newsletters,Not right now,North America,,I agree,3
4,"Builder (part of DApp or project), End user, Content creator / educator, Intersect contributor (member, working group or committee etc)",Over 5 years,Advanced,5,3,1,2,,,5,4,1,3,,2,,,,More than 15%,"Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups",Unsure/I don’t know,5,Neutral,"Haskell Leios, 2, 3",?,?,"Meeting community needs for transparency, combined with education surrounding the information used to form decisions ","I have made some comments, but I am yet to fully participate",Monthly,Both high-level and detail,All the above,"Opaque processes foster distrust, yet open processes can fuel disagreement. Education is an important aspect to growing governance into the future. Rather than endless explanation of how decisions were made, providing source documents and education on understanding the raw data and interpretation is key to long term success.",Australia/Oceania,,I agree,4
